,category,skill,type,count
370,IS,Deep Packet Inspection,hard_skill,2
371,IS,Cloud Infrastructure,hard_skill,11
372,IS,Advanced Encryption Standard (AES),hard_skill,1
373,IS,RSA (Cryptosystem),hard_skill,7
374,IS,LenelS2 (Access Control System),hard_skill,2
375,IS,Compassion,hard_skill,19
376,IS,Simple Network Management Protocols,hard_skill,6
377,IS,Public Key Infrastructure,hard_skill,4
378,IS,Content Creation,hard_skill,22
379,IS,VBScript (Visual Basic Scripting Edition),hard_skill,2
380,IS,Virtual Local Area Network (VLAN),hard_skill,6
381,IS,TikTok,hard_skill,25
382,IS,Android (Operating System),hard_skill,6
383,IS,Apple IOS,hard_skill,9
384,IS,Cyber Security Standards,hard_skill,8
385,IS,Cyber Security Policies,hard_skill,10
386,IS,Information Technology Security Auditing,hard_skill,8
387,IS,Infographics,hard_skill,1
388,IS,CompTIA Advanced Security Practitioner (CASP+),hard_skill,1
389,IS,Cisco Certified Internetwork Expert,hard_skill,14
390,IS,Ruby (Programming Language),hard_skill,9
391,IS,Blockchain Security,hard_skill,2
392,IS,Talent Acquisition,hard_skill,2
393,IS,Scheduling,hard_skill,10
394,IS,InsightVM (Vulnerability Scanning Software),hard_skill,1
395,IS,Strong Work Ethic,hard_skill,4
396,IS,Configuration Management Databases,hard_skill,5
397,IS,Cryptocurrency,hard_skill,2
398,IS,Asset Management,hard_skill,11
399,IS,IT Security Documentation,hard_skill,2
400,IS,Payment Card Industry (PCI) Data Security Standards,hard_skill,15
401,IS,General Data Protection Regulation (GDPR),hard_skill,11
402,IS,Key Performance Indicators (KPIs),hard_skill,15
403,IS,Management Reporting,hard_skill,6
404,IS,Cyber Governance,hard_skill,7
405,IS,Architectural Design,hard_skill,11
406,IS,Governance Risk Management And Compliance,hard_skill,9
407,IS,Amazon API Gateway,hard_skill,1
408,IS,Blockchain,hard_skill,5
409,IS,AWS Certified Security Specialty,hard_skill,2
410,IS,Amazon Inspector,hard_skill,1
411,IS,Serverless Computing,hard_skill,2
412,IS,Cheque Truncation Systems,hard_skill,2
413,IS,AWS Certified Cloud Practitioner,hard_skill,1
414,IS,Amazon CloudWatch,hard_skill,2
415,IS,Database Activity Monitoring,hard_skill,4
416,IS,CI/CD,hard_skill,28
417,IS,Automated Clearing House,hard_skill,2
418,IS,Infrastructure As A Service (IaaS),hard_skill,5
419,IS,Product Design,hard_skill,4
420,IS,Operational Excellence,hard_skill,5
421,IS,Query Languages,hard_skill,1
422,IS,Platform As A Service (PaaS),hard_skill,4
423,IS,E-Commerce,hard_skill,4
424,IS,Content Delivery Networks,hard_skill,5
425,IS,Analytics,hard_skill,6
426,IS,Continuous Improvement Process,hard_skill,3
427,IS,Artificial Intelligence Markup Language (AIML),hard_skill,4
428,IS,Medical Devices,hard_skill,4
429,IS,Hardware Security Module,hard_skill,3
430,IS,Privileged Access Management,hard_skill,5
431,IS,External Auditing,hard_skill,11
432,IS,Containerization,hard_skill,6
433,IS,Security Technology,hard_skill,18
434,IS,Compliance Risk,hard_skill,5
435,IS,Business Operations,hard_skill,4
436,IS,Regulatory Compliance,hard_skill,18
437,IS,Mandarin Chinese,hard_skill,6
438,IS,Accounting,hard_skill,5
439,IS,Traffic Analysis,hard_skill,3
440,IS,Courage,hard_skill,10
441,IS,Collaboration,hard_skill,9
442,IS,Docker (Software),hard_skill,14
443,IS,Kubernetes,hard_skill,15
444,IS,GIAC Network Forensic Analyst,hard_skill,5
445,IS,Data Collection,hard_skill,3
446,IS,Database Servers,hard_skill,2
447,IS,Business Objectives,hard_skill,12
448,IS,Denial-Of-Service (DoS) Attacks,hard_skill,4
449,IS,Data Validation,hard_skill,3
450,IS,Network Administration,hard_skill,7
451,IS,Pattern Recognition,hard_skill,3
452,IS,Technical Management,hard_skill,6
453,IS,Resource Utilization,hard_skill,4
454,IS,Operational Risk,hard_skill,5
455,IS,Business Software,hard_skill,2
